s1, t5, c0, z0, f4, b0, l3, o1 - Jun-4
z5, t5, s2, c0, f4, b0, l3, o1 - Jun-4
c0, z6, f4, b0, s3, l3, t1, o1 - Jun-21
t3, c0, b0, f4, l3, s3, z4, o1 - Dec-28
c0, z6, b0, f4, s3, l3, t5, o1 - Jun-7
b0, z0, s2, c0, t0, f6, l0, o0 - Apr-31
b0, z2, s2, c0, t0, f6, l0, o0 - Sep-31
c0, t1, s2, b0, z0, f6, l0, o1 - Mar-31
b0, z0, s2, c0, t7, f6, l0, o1 - Apr-31
c0, t7, s2, b0, z0, f6, l0, o1 - Apr-31
b0, z2, s2, c0, t7, f6, l0, o1 - Sep-31
z1, f6, o1, l0, t3, c0, b0, s3 - Jan-21
l1, b0, s2, t0, f6, z5, c0, o0 - Aug-19
l1, b0, s2, t0, f6, z5, o0, c0 - Aug-21
c0, t1, s2, l1, f6, z5, b0, o0 - Mar-12
c0, t1, s2, l1, f6, z5, o0, b0 - Mar-14
l1, b0, s2, z1, f6, t6, c0, o0 - Aug-19
l1, b0, s2, z1, f6, t6, o0, c0 - Aug-21
c0, t7, s2, l1, f6, z5, b0, o0 - Apr-12
c0, t7, s2, l1, f6, z5, o0, b0 - Apr-14
l1, s3, c0, o0, t0, f6, z5, b0 - Dec-25
f6, c0, l1, s2, z1, t0, b0, o1 - Sep-7
c0, l1, z5, s2, t0, f6, b0, o1 - Aug-31
c0, l1, s3, z4, t0, f6, b0, o1 - Aug-31
f6, c0, o1, l1, s3, t0, b0, z4 - Sep-28
f6, c0, o1, l1, t0, s3, b0, z4 - Sep-23
f6, c0, o1, l1, t0, s3, b0, z6 - Sep-31
c0, s1, l2, o0, t0, f6, z5, b0 - Aug-25
l2, b0, s2, z7, f6, t6, c0, o0 - Aug-19
l2, b0, s2, z7, f6, t6, o0, c0 - Aug-21
l2, f6, o0, s3, z2, b0, c0, t3 - Jul-19
f6, o1, c0, l2, s3, t0, b0, z4 - Dec-28
f6, o1, c0, l2, t0, s3, b0, z4 - Dec-23
f6, o1, c0, l2, t0, s3, b0, z6 - Dec-31
f6, c0, t0, z1, s0, b0, l3, o0 - May-31
c0, t5, s0, z1, f6, b0, o0, l3 - Aug-7
c0, t1, s2, o0, b0, f6, z5, l3 - Mar-25
c0, f6, b0, s2, o0, z6, l3, t1 - Aug-21
o0, z2, c0, t3, f6, b0, s3, l3 - Jun-31
z5, o1, c0, s0, t0, f6, l3, b0 - Dec-31
c0, t2, o1, z1, s0, f6, b0, l3 - Aug-31
o1, z3, c0, s2, t0, f6, l3, b0 - Dec-31
c0, o1, t2, b0, s2, f6, z5, l3 - Aug-25
c0, o1, t2, z7, s2, f6, b0, l3 - Aug-31
c0, o1, l3, b0, s3, f6, z5, t1 - Aug-21
c0, t2, o1, z6, f6, b0, s3, l3 - Aug-31
f7, t0, c0, b0, l0, s2, z4, o1 - Jun-28
f7, b0, c0, t0, l0, s3, z4, o1 - Jun-28
c0, f7, l2, o1, t6, z0, b0, s3 - Aug-27
f7, t1, l3, c0, z6, b0, o0, s3 - Jun-1
c0, o1, l3, s1, t0, z0, b0, f7 - Aug-20
f7, c0, b0, s2, z5, t0, l3, o1 - Dec-22
c0, t1, s2, z6, b0, f7, l3, o1 - Mar-25
c0, t7, s2, z6, b0, f7, l3, o1 - Apr-25
f0, z3, b0, s2, c1, o0, l0, t1 - Aug-16
f0, t1, s2, z5, c1, b0, o0, l0 - Mar-23
l0, c1, t6, z5, f0, s2, b0, o0 - Sep-19
f0, t7, s2, z5, c1, b0, o0, l0 - Apr-23
l0, c1, s0, z5, f0, o1, b0, t1 - Sep-7
l0, c1, s0, z7, f0, o1, b0, t1 - Sep-13
o0, l1, z2, s0, f0, c1, b0, t1 - Jun-10
c1, l1, t1, z1, f0, s2, b0, o0 - Nov-14
c1, l1, t1, z1, f0, s2, o0, b0 - Nov-17
f0, t5, c1, l1, z7, s2, o0, b0 - Dec-3
l1, s3, t0, c1, z3, f0, b0, o0 - May-28
o0, t2, c1, z6, f0, b0, l1, s3 - Nov-14
b0, t3, z2, c1, f0, o0, l1, s3 - Jun-11
b0, t3, z5, s3, f0, l1, o0, c1 - Oct-27
b0, t5, z5, s3, f0, l1, o0, c1 - Sep-27
l1, s3, z7, c1, t6, f0, b0, o0 - Jun-27
c1, o0, z5, f0, t7, b0, l1, s3 - Aug-29
l1, c1, t6, s1, z7, f0, b0, o1 - Nov-7
c1, o1, z2, t3, f0, b0, l1, s3 - Aug-14
o1, c1, z2, t3, f0, b0, l1, s3 - Nov-14
c1, o1, t5, z6, f0, b0, l1, s3 - Aug-14
o1, c1, t5, z6, f0, b0, l1, s3 - Nov-14
c1, l2, t1, z7, f0, s2, b0, o0 - Nov-14
